name,price.Ask,date,TSI,age,days,special,keep,defn,play,wing,pase,score,sp,form,stamina,wage,playerId,link,priceSell,Date.Sell,sold?
Mitchell Sorensen,350000,4/6/2020,1740,18,0,-,1,5,7,5,6,4,1,7,5,444,448386913,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=448386913,1000,1/3/2020,Sin Vender
Jakub Sus,646000,4/5/2020,3420,18,0,-,1,2,8,2,8,4,4,5,7,732,448351650,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=448351650,107100,12/24/2019,Sin Vender
Pedro Landaeta,1500000,4/4/2020,3260,18,0,Head,1,3,8,4,7,2,1,7,5,780,448305510,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=448305510,605000,3/21/2020,Sin Vender
Seymur MikayÄ±lov,2500000,4/6/2020,3890,18,1,-,1,3,7,5,7,7,1,7,6,540,448290561,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=448290561,100000,1/13/2020,Sin Vender
Goel Mena,490000,4/5/2020,3120,18,3,-,1,2,8,6,6,4,2,7,6,684,448271651,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=448271651,490000,4/5/2020,Vendido
Gidons Titovs,372301,4/4/2020,2300,18,5,Powerful,1,4,7,3,7,5,4,6,6,540,448244403,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=448244403,372301,4/4/2020,Vendido
Jose Locadia,800000,4/4/2020,5210,18,8,-,1,8,7,6,5,3,1,7,6,756,447656178,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447656178,832320,4/4/2020,Vendido
KÃ¶ksal Atik,1300000,4/4/2020,6120,18,13,Technical,1,7,9,3,5,6,2,6,5,1140,447587737,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447587737,1836000,4/4/2020,Vendido
Lasse Silonsaari,1000000,4/3/2020,3960,18,13,-,1,4,8,3,7,3,3,7,7,780,447565519,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447565519,62282,12/3/2019,Sin Vender
AndrÃ©s Fragoso,350000,4/6/2020,2540,18,14,Technical,1,4,8,2,7,3,2,6,6,588,450157569,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=450157569,404000,4/6/2020,Vendido
Malcolm Hansson,2150000,4/5/2020,5240,18,14,Quick,1,3,7,5,6,9,3,5,5,1140,447589045,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447589045,1677000,3/23/2020,Sin Vender
Nguyá»…n Quang Linh,998000,4/6/2020,6170,18,18,Powerful,2,3,10,4,6,5,2,6,6,1452,448373797,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=448373797,1060000,4/6/2020,Vendido
Eef Verspaille,1100000,4/5/2020,4440,18,21,-,1,3,9,5,6,3,2,6,6,1284,447498122,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447498122,749000,3/1/2020,Sin Vender
Heinzpeter Nothhelfer,1276000,4/6/2020,4830,18,22,Technical,1,2,9,4,5,7,3,7,6,828,447628514,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447628514,1276000,4/6/2020,Vendido
JosÃ© Vicente Elormendi,296000,4/6/2020,3060,18,23,Head,1,4,7,3,8,3,2,5,6,612,448275358,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=448275358,532000,4/6/2020,Vendido
Kelt Hugo Faber,2642820,4/4/2020,7570,18,23,Technical,1,6,9,4,6,7,3,7,5,972,447702636,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447702636,2642820,4/4/2020,Vendido
Serge Lartigue,1222,4/6/2020,450,18,24,-,1,3,7,2,5,2,1,3,5,420,449799322,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=449799322,3000,4/6/2020,Vendido
