,0,1,2
0,Midfield,200,450
1,Right defence,200,550
2,Central defence,225,675
3,Left defence,200,600
4,Right attack,225,175
5,Central attack,250,150
6,Left attack,225,200
7,Indirect set pieces,Indirect set pieces,Indirect set pieces
8,Defence,225,475
9,Attack,250,400
10,Match plan,Match plan,Match plan
11,Team attitude,(Hidden),(Hidden)
12,Tactic,Normal,Normal
13,Tactic skill,(no tactic),(no tactic)
14,Style of play,100% Offensive,Neutral
15,Average ratings,Average ratings,Average ratings
16,Total player experience,250,450
17,Average midfield,200,450
18,Average defence,200,600
19,Average attack,225,175
20,Total average,200,400
21,Midfield,175,500
22,Right defence,175,975
23,Central defence,225,925
24,Left defence,200,725
25,Right attack,200,650
26,Central attack,200,775
27,Left attack,200,450
28,Indirect set pieces,Indirect set pieces,Indirect set pieces
29,Defence,275,700
30,Attack,300,700
31,Match plan,Match plan,Match plan
32,Team attitude,(Hidden),(Hidden)
33,Tactic,Normal,Play creatively
34,Tactic skill,(no tactic),14
35,Style of play,100% Offensive,Neutral
36,Average ratings,Average ratings,Average ratings
37,Total player experience,300,650
38,Average midfield,175,500
39,Average defence,200,875
40,Average attack,200,625
41,Total average,200,675
42,Midfield,200,575
43,Right defence,200,1925
44,Central defence,225,1875
45,Left defence,175,1750
46,Right attack,275,550
47,Central attack,225,325
48,Left attack,225,750
49,Indirect set pieces,Indirect set pieces,Indirect set pieces
50,Defence,250,1125
51,Attack,275,875
52,Match plan,Match plan,Match plan
53,Team attitude,(Hidden),(Hidden)
54,Tactic,Normal,Normal
55,Tactic skill,(no tactic),(no tactic)
56,Style of play,100% Offensive,Neutral
57,Average ratings,Average ratings,Average ratings
58,Total player experience,225,975
59,Average midfield,200,575
60,Average defence,200,1850
61,Average attack,225,550
62,Total average,200,1000
63,Midfield,175,600
64,Right defence,225,1025
65,Central defence,225,1200
66,Left defence,200,1150
67,Right attack,300,575
68,Central attack,275,975
69,Left attack,250,975
70,Indirect set pieces,Indirect set pieces,Indirect set pieces
71,Defence,250,800
72,Attack,300,700
73,Match plan,Match plan,Match plan
74,Team attitude,(Hidden),(Hidden)
75,Tactic,Normal,Normal
76,Tactic skill,(no tactic),(no tactic)
77,Style of play,100% Offensive,Neutral
78,Average ratings,Average ratings,Average ratings
79,Total player experience,250,825
80,Average midfield,175,600
81,Average defence,225,1125
82,Average attack,275,825
83,Total average,225,850
84,Midfield,175,1100
85,Right defence,150,1550
86,Central defence,200,1475
87,Left defence,200,1750
88,Right attack,200,825
89,Central attack,175,600
90,Left attack,200,700
91,Indirect set pieces,Indirect set pieces,Indirect set pieces
92,Defence,250,975
93,Attack,300,675
94,Match plan,Match plan,Match plan
95,Team attitude,(Hidden),(Hidden)
96,Tactic,Normal,Normal
97,Tactic skill,(no tactic),(no tactic)
98,Style of play,100% Defensive,Neutral
99,Average ratings,Average ratings,Average ratings
100,Total player experience,250,1250
101,Average midfield,175,1100
102,Average defence,175,1600
103,Average attack,200,700
104,Total average,175,1125
105,Midfield,175,650
106,Right defence,250,1300
107,Central defence,250,975
108,Left defence,200,950
109,Right attack,225,875
110,Central attack,175,975
111,Left attack,175,800
112,Indirect set pieces,Indirect set pieces,Indirect set pieces
113,Defence,275,675
114,Attack,250,800
115,Match plan,Match plan,Match plan
116,Team attitude,(Hidden),(Hidden)
117,Tactic,Normal,Play creatively
118,Tactic skill,(no tactic),16
119,Style of play,100% Defensive,Neutral
120,Average ratings,Average ratings,Average ratings
121,Total player experience,275,850
122,Average midfield,175,650
123,Average defence,225,1075
124,Average attack,175,875
125,Total average,200,875
126,Midfield,175,725
127,Right defence,225,1800
128,Central defence,200,1875
129,Left defence,175,1750
130,Right attack,225,550
131,Central attack,275,450
132,Left attack,225,650
133,Indirect set pieces,Indirect set pieces,Indirect set pieces
134,Defence,250,950
135,Attack,250,950
136,Match plan,Match plan,Match plan
137,Team attitude,(Hidden),(Hidden)
138,Tactic,Normal,Normal
139,Tactic skill,(no tactic),(no tactic)
140,Style of play,100% Defensive,100% Defensive
141,Average ratings,Average ratings,Average ratings
142,Total player experience,275,925
143,Average midfield,175,725
144,Average defence,200,1800
145,Average attack,250,550
146,Total average,200,1025
147,Midfield,250,600
148,Right defence,200,1675
149,Central defence,225,1525
150,Left defence,225,1350
151,Right attack,300,700
152,Central attack,325,825
153,Left attack,225,575
154,Indirect set pieces,Indirect set pieces,Indirect set pieces
155,Defence,275,1000
156,Attack,325,775
157,Match plan,Match plan,Match plan
158,Team attitude,(Hidden),(Hidden)
159,Tactic,Normal,Normal
160,Tactic skill,(no tactic),(no tactic)
161,Style of play,100% Offensive,Neutral
162,Average ratings,Average ratings,Average ratings
163,Total player experience,300,700
164,Average midfield,250,600
165,Average defence,225,1525
166,Average attack,300,700
167,Total average,250,950
168,Midfield,200,500
169,Right defence,225,675
170,Central defence,250,1100
171,Left defence,225,725
172,Right attack,200,375
173,Central attack,225,350
174,Left attack,175,425
175,Indirect set pieces,Indirect set pieces,Indirect set pieces
176,Defence,250,575
177,Attack,250,350
178,Match plan,Match plan,Match plan
179,Team attitude,(Hidden),(Hidden)
180,Tactic,Normal,Normal
181,Tactic skill,(no tactic),(no tactic)
182,Style of play,100% Defensive,Neutral
183,Average ratings,Average ratings,Average ratings
184,Total player experience,300,575
185,Average midfield,200,500
186,Average defence,225,825
187,Average attack,200,375
188,Total average,200,575
189,Midfield,200,625
190,Right defence,250,250
191,Central defence,250,375
192,Left defence,250,225
193,Right attack,250,400
194,Central attack,300,875
195,Left attack,275,450
196,Indirect set pieces,Indirect set pieces,Indirect set pieces
197,Defence,275,425
198,Attack,275,725
199,Match plan,Match plan,Match plan
200,Team attitude,(Hidden),(Hidden)
201,Tactic,Normal,Attack in the Middle
202,Tactic skill,(no tactic),14
203,Style of play,100% Offensive,100% Offensive
204,Average ratings,Average ratings,Average ratings
205,Total player experience,250,600
206,Average midfield,200,625
207,Average defence,250,275
208,Average attack,275,575
209,Total average,250,500
210,Midfield,250,850
211,Right defence,250,725
212,Central defence,325,1000
213,Left defence,275,625
214,Right attack,175,650
215,Central attack,200,850
216,Left attack,200,775
217,Indirect set pieces,Indirect set pieces,Indirect set pieces
218,Defence,300,750
219,Attack,275,800
220,Match plan,Match plan,Match plan
221,Team attitude,(Hidden),(Hidden)
222,Tactic,Normal,Normal
223,Tactic skill,(no tactic),(no tactic)
224,Style of play,100% Defensive,Neutral
225,Average ratings,Average ratings,Average ratings
226,Total player experience,225,875
227,Average midfield,250,850
228,Average defence,275,775
229,Average attack,200,750
230,Total average,250,800
231,Midfield,200,950
232,Right defence,175,1075
233,Central defence,200,1700
234,Left defence,175,1900
235,Right attack,200,825
236,Central attack,225,950
237,Left attack,200,900
238,Indirect set pieces,Indirect set pieces,Indirect set pieces
239,Defence,225,925
240,Attack,250,700
241,Match plan,Match plan,Match plan
242,Team attitude,(Hidden),(Hidden)
243,Tactic,Normal,Normal
244,Tactic skill,(no tactic),(no tactic)
245,Style of play,100% Defensive,Neutral
246,Average ratings,Average ratings,Average ratings
247,Total player experience,200,1175
248,Average midfield,200,950
249,Average defence,175,1550
250,Average attack,200,900
251,Total average,200,1125
252,Midfield,200,825
253,Right defence,225,1350
254,Central defence,250,1750
255,Left defence,200,1850
256,Right attack,225,300
257,Central attack,225,375
258,Left attack,275,300
259,Indirect set pieces,Indirect set pieces,Indirect set pieces
260,Defence,300,1300
261,Attack,300,1200
262,Match plan,Match plan,Match plan
263,Team attitude,(Hidden),(Hidden)
264,Tactic,Normal,Normal
265,Tactic skill,(no tactic),(no tactic)
266,Style of play,100% Offensive,100% Defensive
267,Average ratings,Average ratings,Average ratings
268,Total player experience,200,875
269,Average midfield,200,825
270,Average defence,225,1650
271,Average attack,250,325
272,Total average,225,925
273,Midfield,175,625
274,Right defence,275,1525
275,Central defence,275,1450
276,Left defence,175,1125
277,Right attack,250,350
278,Central attack,250,325
279,Left attack,275,275
280,Indirect set pieces,Indirect set pieces,Indirect set pieces
281,Defence,300,1325
282,Attack,300,1275
283,Match plan,Match plan,Match plan
284,Team attitude,(Hidden),(Hidden)
285,Tactic,Normal,Normal
286,Tactic skill,(no tactic),(no tactic)
287,Style of play,100% Offensive,100% Defensive
288,Average ratings,Average ratings,Average ratings
289,Total player experience,200,725
290,Average midfield,175,625
291,Average defence,250,1375
292,Average attack,250,325
293,Total average,225,775
294,Midfield,175,650
295,Right defence,225,650
296,Central defence,225,1400
297,Left defence,200,1050
298,Right attack,250,400
299,Central attack,225,925
300,Left attack,225,500
301,Indirect set pieces,Indirect set pieces,Indirect set pieces
302,Defence,275,775
303,Attack,250,875
304,Match plan,Match plan,Match plan
305,Team attitude,(Hidden),(Hidden)
306,Tactic,Normal,Attack in the Middle
307,Tactic skill,(no tactic),21
308,Style of play,100% Offensive,100% Defensive
309,Average ratings,Average ratings,Average ratings
310,Total player experience,225,750
311,Average midfield,175,650
312,Average defence,225,1025
313,Average attack,225,625
314,Total average,200,775
315,Midfield,200,575
316,Right defence,125,375
317,Central defence,175,425
318,Left defence,225,350
319,Right attack,225,825
320,Central attack,225,1050
321,Left attack,250,825
322,Indirect set pieces,Indirect set pieces,Indirect set pieces
323,Defence,275,925
324,Attack,300,825
325,Match plan,Match plan,Match plan
326,Team attitude,(Hidden),(Hidden)
327,Tactic,Normal,Play creatively
328,Tactic skill,(no tactic),19
329,Style of play,100% Offensive,Neutral
330,Average ratings,Average ratings,Average ratings
331,Total player experience,200,1225
332,Average midfield,200,575
333,Average defence,175,375
334,Average attack,225,900
335,Total average,200,625
336,Midfield,200,750
337,Right defence,175,1150
338,Central defence,225,1000
339,Left defence,275,1000
340,Right attack,200,850
341,Central attack,225,600
342,Left attack,200,700
343,Indirect set pieces,Indirect set pieces,Indirect set pieces
344,Defence,275,775
345,Attack,300,575
346,Match plan,Match plan,Match plan
347,Team attitude,(Hidden),(Hidden)
348,Tactic,Normal,Normal
349,Tactic skill,(no tactic),(no tactic)
350,Style of play,100% Offensive,100% Offensive
351,Average ratings,Average ratings,Average ratings
352,Total player experience,200,950
353,Average midfield,200,750
354,Average defence,225,1050
355,Average attack,200,725
356,Total average,200,850
357,Midfield,175,925
358,Right defence,250,1225
359,Central defence,275,1200
360,Left defence,225,1350
361,Right attack,225,575
362,Central attack,225,800
363,Left attack,200,525
364,Indirect set pieces,Indirect set pieces,Indirect set pieces
365,Defence,275,1125
366,Attack,300,900
367,Match plan,Match plan,Match plan
368,Team attitude,(Hidden),(Hidden)
369,Tactic,Normal,Attack in the Middle
370,Tactic skill,(no tactic),21
371,Style of play,100% Defensive,Neutral
372,Average ratings,Average ratings,Average ratings
373,Total player experience,200,850
374,Average midfield,175,925
375,Average defence,250,1250
376,Average attack,200,625
377,Total average,200,925
378,Midfield,175,375
379,Right defence,150,1550
380,Central defence,200,1725
381,Left defence,175,1675
382,Right attack,275,350
383,Central attack,275,775
384,Left attack,275,700
385,Indirect set pieces,Indirect set pieces,Indirect set pieces
386,Defence,300,675
387,Attack,300,575
388,Match plan,Match plan,Match plan
389,Team attitude,(Hidden),(Hidden)
390,Tactic,Normal,Counter-attacks
391,Tactic skill,(no tactic),13
392,Style of play,100% Offensive,Neutral
393,Average ratings,Average ratings,Average ratings
394,Total player experience,250,625
395,Average midfield,175,375
396,Average defence,175,1650
397,Average attack,275,600
398,Total average,200,875
399,Midfield,200,225
400,Right defence,200,575
401,Central defence,250,725
402,Left defence,225,550
403,Right attack,175,325
404,Central attack,200,250
405,Left attack,200,325
406,Indirect set pieces,Indirect set pieces,Indirect set pieces
407,Defence,250,575
408,Attack,250,425
409,Match plan,Match plan,Match plan
